#group,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string,string,string,string,string,string,double,dateTime:RFC3339
#default,median,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_field,_measurement,class,host,location,metric_type,model,sensorid,sensorplatform,sensortype,type,_value,_time
,,4,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,temp,woodstack,sensor,dell01,MER,gauge,R630,woodstack03-mer,esp32,shtcx,physical,26.941566,2026-07-07T14:34:00Z
,,4,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,temp,woodstack,sensor,dell01,MER,gauge,R630,woodstack03-mer,esp32,shtcx,physical,26.937561,2026-07-07T14:35:00Z
,,4,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,temp,woodstack,sensor,dell01,MER,gauge,R630,woodstack03-mer,esp32,shtcx,physical,26.942901499999998,2026-07-07T14:36:00Z
,,4,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,temp,woodstack,sensor,dell01,MER,gauge,R630,woodstack03-mer,esp32,shtcx,physical,26.890831,2026-07-07T14:37:00Z
,,4,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,temp,woodstack,sensor,dell01,MER,gauge,R630,woodstack03-mer,esp32,shtcx,physical,26.942901499999998,2026-07-07T14:38:00Z
,,4,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,temp,woodstack,sensor,dell01,MER,gauge,R630,woodstack03-mer,esp32,shtcx,physical,26.9255445,2026-07-07T14:39:00Z
,,5,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,temp,woodstack,shelves-4,dell01,MER,gauge,R630,woodstack10-mer,esp32,shtcx,physical,24.107056,2026-07-07T14:25:00Z
,,5,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,temp,woodstack,shelves-4,dell01,MER,gauge,R630,woodstack10-mer,esp32,shtcx,physical,24.076347,2026-07-07T14:26:00Z
,,5,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,temp,woodstack,shelves-4,dell01,MER,gauge,R630,woodstack10-mer,esp32,shtcx,physical,24.000244000000002,2026-07-07T14:27:00Z
,,5,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,temp,woodstack,shelves-4,dell01,MER,gauge,R630,woodstack10-mer,esp32,shtcx,physical,24.054985000000002,2026-07-07T14:28:00Z
,,5,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,temp,woodstack,shelves-4,dell01,MER,gauge,R630,woodstack10-mer,esp32,shtcx,physical,24.0336225,2026-07-07T14:29:00Z
,,5,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,temp,woodstack,shelves-4,dell01,MER,gauge,R630,woodstack10-mer,esp32,shtcx,physical,24.0589905,2026-07-07T14:30:00Z
,,5,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,temp,woodstack,shelves-4,dell01,MER,gauge,R630,woodstack10-mer,esp32,shtcx,physical,24.018936,2026-07-07T14:31:00Z
,,5,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,temp,woodstack,shelves-4,dell01,MER,gauge,R630,woodstack10-mer,esp32,shtcx,physical,23.9842225,2026-07-07T14:32:00Z
,,5,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,temp,woodstack,shelves-4,dell01,MER,gauge,R630,woodstack10-mer,esp32,shtcx,physical,24.037627999999998,2026-07-07T14:33:00Z
,,5,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,temp,woodstack,shelves-4,dell01,MER,gauge,R630,woodstack10-mer,esp32,shtcx,physical,24.0416335,2026-07-07T14:34:00Z
